Millbrae|Operator|4
San Bruno|Operator|2
Richmond|Maintenance|69
Oakland|Maintenance|316
San Leandro|Maintenance|49
Berkeley|Maintenance|69
Concord|Maintenance|46
Vallejo|Maintenance|23
Martinez|Maintenance|138
San Francisco|Maintenance|251
Pacheco|Maintenance|2
Pinole|Maintenance|9
San Rafael|Maintenance|26
Point Richmond|Maintenance|1
Benicia|Maintenance|17
East Bay|Maintenance|15
Lafayette|Maintenance|5
Emeryville|Maintenance|19
Sonoma|Maintenance|4
Moraga|Maintenance|3
San Pablo|Maintenance|11
Central Basin|Maintenance|1
Greenbrae|Maintenance|2
Novato|Maintenance|12
South San Francisco|Maintenance|34
San Bruno|Maintenance|4
Walnut Creek|Maintenance|24
Rodeo|Maintenance|3
Fairfield|Maintenance|5
Pleasant Hill|Maintenance|4
Albany|Maintenance|4
Daly City|Maintenance|8
El Cerrito|Maintenance|3
San Francisco Bay Area|Maintenance|314
Hayward|Maintenance|3
Hercules|Maintenance|7
San Lorenzo|Maintenance|3
Alameda|Maintenance|16
El Sobrante|Maintenance|1
Mill Valley|Maintenance|2
Burlingame|Maintenance|2
San Ramon|Maintenance|120
Canyon|Maintenance|1
Pacifica|Maintenance|3
American Canyon|Maintenance|1
Millbrae|Maintenance|2
Petaluma|Maintenance|12
Fairfax|Maintenance|2
Castro Valley|Maintenance|3
Woodacre|Maintenance|2
Brisbane|Maintenance|2
Corte Madera|Maintenance|3
Tiburon|Maintenance|1
Colma|Maintenance|1
Napa Valley|Maintenance|1
Bay Point|Maintenance|1
Orinda|Maintenance|2
Piedmont|Maintenance|1
Crockett|Maintenance|1
Berkeley|Carpenter|5
Oakland|Carpenter|4
Richmond|Carpenter|2
San Francisco|Carpenter|21
Lafayette|Carpenter|5
Martinez|Carpenter|1
Napa Valley|Carpenter|1
San Rafael|Carpenter|5
San Francisco Bay Area|Carpenter|2
San Anselmo|Carpenter|2
Tiburon|Carpenter|3
Concord|Carpenter|5
Walnut Creek|Carpenter|4
Novato|Carpenter|2
South San Francisco|Carpenter|2
Greenbrae|Carpenter|2
Sausalito|Carpenter|2
Mill Valley|Carpenter|5
Alameda|Carpenter|3
Vallejo|Carpenter|1
Daly City|Carpenter|1
Millbrae|Carpenter|2
Pacifica|Carpenter|2
San Bruno|Carpenter|1
Alamo|Carpenter|3
Emeryville|Carpenter|3
Petaluma|Carpenter|1
Benicia|Carpenter|3
Concord|Assembler|4
Hercules|Assembler|11
San Leandro|Assembler|2
Oakland|Assembler|4
Berkeley|Assembler|4
San Francisco|Assembler|19
San Francisco Bay Area|Assembler|1
South San Francisco|Assembler|5
Richmond|Assembler|2
San Rafael|Assembler|2
Canyon|Assembler|2
Sonoma|Assembler|1
Pinole|Assembler|2
Brisbane|Assembler|2
Pleasant Hill|Assembler|1
Vallejo|Assembler|1
El Sobrante|Assembler|1
Petaluma|Assembler|2
San Pablo|Assembler|2
Alameda|Assembler|1
Benicia|Assembler|1
East Bay|Cook|2
Martinez|Cook|3
El Cerrito|Cook|6
Berkeley|Cook|41
Oakland|Cook|31
Emeryville|Cook|11
Pinole|Cook|11
San Francisco|Cook|351
Concord|Cook|33
Burlingame|Cook|3
Petaluma|Cook|17
Walnut Creek|Cook|44
San Bruno|Cook|25
Castro Valley|Cook|13
Vallejo|Cook|19
San Rafael|Cook|14
Alameda|Cook|9
Pleasant Hill|Cook|12
Richmond|Cook|15
San Anselmo|Cook|1
Fairfax|Cook|1
Daly City|Cook|18
San Ramon|Cook|8
San Leandro|Cook|13
Novato|Cook|13
Corte Madera|Cook|11
Millbrae|Cook|2
Lafayette|Cook|7
Danville|Cook|11
Point Reyes Station|Cook|2
South San Francisco|Cook|7
Hercules|Cook|2
San Francisco Bay Area|Cook|12
Mill Valley|Cook|5
Benicia|Cook|2
Sonoma|Cook|9
Belvedere Tiburon|Cook|1
Napa|Cook|2
Orinda|Cook|2
Marin City|Cook|4
American Canyon|Cook|4
San Lorenzo|Cook|5
Larkspur|Cook|1
Greenbrae|Cook|2
San Pablo|Cook|2
Sausalito|Cook|6
Brisbane|Cook|3
Colma|Cook|1
Hayward|Cook|1
Tiburon|Cook|2
Westlake|Cook|1
Richmond|Machinist|6
San Leandro|Machinist|4
San Francisco|Machinist|6
Berkeley|Machinist|12
Alameda|Machinist|1
Napa|Machinist|1
San Rafael|Machinist|1
Concord|Machinist|3
Benicia|Machinist|3
Martinez|Machinist|1
Oakland|Machinist|2
Richmond|Electrician|6
Berkeley|Electrician|6
Oakland|Electrician|8
San Anselmo|Electrician|2
San Rafael|Electrician|5
Concord|Electrician|7
Walnut Creek|Electrician|2
Vallejo|Electrician|2
San Francisco|Electrician|28
Novato|Electrician|2
South San Francisco|Electrician|1
San Francisco Bay Area|Electrician|12
Sausalito|Electrician|1
Mill Valley|Electrician|4
Martinez|Electrician|2
Daly City|Electrician|2
Millbrae|Electrician|1
Pacifica|Electrician|2
San Leandro|Electrician|8
East Bay|Electrician|3
Hercules|Electrician|1
Alameda|Electrician|4
San Bruno|Electrician|2
Crockett|Electrician|3
Benicia|Electrician|1
Sonoma|Electrician|1
San Ramon|Electrician|1
Berkeley|Welder|6
Napa|Welder|1
Alameda|Welder|3
Oakland|Welder|3
San Leandro|Welder|3
San Francisco Bay Area|Welder|1
Martinez|Welder|5
Benicia|Welder|2
San Francisco|Welder|4
Rodeo|Welder|1
Concord|Welder|5
Hayward|Welder|2
Richmond|Welder|4
Westlake|Welder|1
Richmond|Machine Operator|3
Berkeley|Machine Operator|4
South San Francisco|Machine Operator|2
Alameda|Machine Operator|3
San Leandro|Machine Operator|7
Concord|Machine Operator|3
Petaluma|Machine Operator|2
Oakland|Machine Operator|6
San Francisco|Machine Operator|24
